sample_index,timestamp_brainflow,label,C3_uV,C4_uV,Cz_uV
442,1786485456.4131477,RE,-3.6,9.3,12.2
443,1786485456.413156,RE,3.3,-7.8,-8.9
444,1786485456.4131644,RE,41.7,4.5,1.6
445,1786485456.4131727,RE,15.6,16.6,17.0
446,1786485456.4131813,RE,-10.0,12.3,11.1
447,1786485456.4131896,RE,2.7,-0.2,0.3
448,1786485456.413198,RE,19.0,-7.4,-4.8
449,1786485456.4132063,RE,21.5,10.2,13.7
450,1786485456.4132152,RE,-2.9,13.2,16.4
451,1786485456.4132257,RE,3.3,11.6,3.4
452,1786485456.413236,RE,25.5,11.2,3.0
453,1786485456.4132476,RE,28.4,21.9,14.3
454,1786485456.4132588,RE,14.1,30.1,18.0
455,1786485456.41327,RE,7.5,21.8,7.1
456,1786485456.4132793,RE,32.2,20.6,6.2
457,1786485456.413288,RE,23.4,22.8,13.4
458,1786485456.4132967,RE,-6.0,18.7,15.9
459,1786485456.4133053,RE,-9.2,12.5,13.1
460,1786485456.413314,RE,33.8,13.2,12.0
461,1786485456.4133232,RE,36.0,19.9,17.2
462,1786485456.4133348,RE,12.8,27.8,19.8
463,1786485456.4133463,RE,-15.5,14.9,4.6
464,1786485456.4133575,RE,1.5,-3.0,-16.4
465,1786485456.4133692,RE,29.4,7.1,0.5
466,1786485456.41338,RE,15.9,24.8,18.4
467,1786485456.4133916,RE,-10.0,23.0,7.8
468,1786485456.413402,RE,-2.3,2.6,-9.4
469,1786485456.413411,RE,27.3,5.7,-0.8
470,1786485456.4134192,RE,12.3,15.7,11.9
471,1786485456.4134278,RE,-2.7,19.1,17.3
472,1786485456.4134362,RE,2.8,8.2,4.8
473,1786485456.4134445,RE,26.5,6.1,8.8
474,1786485456.413453,RE,16.3,18.3,27.1
475,1786485456.4134629,RE,-4.8,18.5,26.0
476,1786485456.4134712,RE,3.3,13.1,16.1
477,1786485456.4134796,RE,3.2,-3.4,-0.4
478,1786485456.413488,RE,7.4,0.6,5.7
479,1786485456.4134965,RE,9.1,16.6,23.7
480,1786485456.4135048,RE,-2.9,15.3,16.4
481,1786485456.8927107,RE,12.8,2.6,-2.6
482,1786485456.8927577,RE,13.8,8.1,8.4
483,1786485456.8927836,RE,-9.6,20.8,19.6
484,1786485456.8928075,RE,-26.3,11.5,8.0
485,1786485456.8928308,RE,-4.6,-0.4,-5.2
486,1786485456.8928568,RE,4.3,3.7,2.8
487,1786485456.8928816,RE,1.0,18.0,28.5
488,1786485456.8929026,RE,-7.4,23.8,31.3
489,1786485456.892928,RE,-11.0,9.7,9.7
490,1786485456.8929572,RE,-7.7,-7.9,-1.6
491,1786485456.8929825,RE,-10.1,5.8,13.2
492,1786485456.8929942,RE,-12.8,22.4,23.8
493,1786485456.8930051,RE,-8.3,6.3,6.9
494,1786485456.893016,RE,12.3,2.1,10.0
495,1786485456.8930264,RE,6.4,24.3,37.4
496,1786485456.8930376,RE,-19.9,26.8,35.7
497,1786485456.8930483,RE,6.0,17.5,22.8
498,1786485456.8930583,RE,11.7,6.2,13.3
499,1786485456.8930686,RE,12.4,21.5,28.8
500,1786485456.8930793,RE,-7.8,27.2,35.5
501,1786485456.8930907,RE,-5.4,23.6,25.0
502,1786485456.8931017,RE,2.6,8.4,6.5
503,1786485456.8931084,RE,9.9,15.1,19.6
504,1786485456.893114,RE,-10.2,25.9,31.7
505,1786485456.8931203,RE,-17.7,14.2,18.1
506,1786485456.8931265,RE,5.0,3.2,7.7
507,1786485456.8931324,RE,8.9,9.5,12.3
508,1786485456.8931384,RE,-19.5,12.7,10.0
509,1786485456.893144,RE,-12.3,11.3,3.0
510,1786485456.89315,RE,-0.4,5.2,-2.9
511,1786485456.893158,RE,13.4,6.0,0.6
512,1786485456.8931694,RE,6.0,21.4,25.7
513,1786485456.8931775,RE,-3.1,19.1,29.4
514,1786485456.8931837,RE,-9.4,1.9,5.5
515,1786485456.8931897,RE,6.3,3.4,4.9
516,1786485456.8931956,RE,2.5,19.9,26.1
517,1786485456.8932014,RE,-25.4,13.2,19.7
518,1786485456.8932073,RE,0.5,7.0,17.7
